id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid02ETzXHjn3qgDcmCR3AYYm7MUKKmVxqzESv2iG1DmNzFnfjdRjacY2zEJ3n4QaxS1ol,Kim Kardashian,27,0,0,0,0,0,0,0,0,177,"Introducing our new Mother's Day bundles, handpicked by three generations of mothers and daughters. Shop Kim's Glow Duo, Kris' Essential Trio, and MJ's Radiance Duo before May 3rd to receive before Mother's Day. https://skkn.social/mothersday-fb",2023-04-26T10:18:52.307460,['blob:https://www.facebook.com/a3be7862-f380-4d8f-96ef-d91929d063f1'],,https://www.facebook.com/KimKardashian/posts/pfbid02ETzXHjn3qgDcmCR3AYYm7MUKKmVxqzESv2iG1DmNzFnfjdRjacY2zEJ3n4QaxS1ol?__cft__[0]=AZVOrgEA86JlAYy-bmqAdJ_eBhonLXxqIlTIRNwcC-DXNTATq0TqsvxbhibFSYHUNhzEJOyp2XcHjwuBJ2me1nA89kLB_FATQK8OwzvFMU7pLas-yMN4grDDkDpNvUrM-DR8KmbDtQOzvySo-tXiTrX67135gYwfWsQ6S_Ch_QQZpyRGKK38SeXIWd_dgcnRfREYoLPq6CYSyoF3hPuD72Uv86RQn-6DRkVbD3DZt6pZE9D6xbY-myPLhOibxYz1QB8&__tn__=%2CO%2CP-R
pfbid02itxQFpX9HkTSvC6MbdNqAywW4pgQV33HbC3KRr2HWCDN7s8ghmf2WexNMh7VqVZsl,Kim Kardashian,49,0,0,0,0,0,0,0,0,250,"April is Esophageal Cancer Awareness month. In 2019, we joined forces with Eric Esrailian and UCLA Health to honor our father & establish the Robert G. Kardashian Center for Esophageal Health at UCLA. Since then, the program & its incredible team have helped countless patients, saved lives, provided hope for the future. We are just getting started, the center continues to grow & we look forward to helping our community even more in the future!",2023-04-25T22:18:57.712212,[],https://external.fgdl2-2.fna.fbcdn.net/emg1/v/t13/16108884838255736897?url=https%3A%2F%2Fwww.uclahealth.org%2Fthemes%2Fcustom%2Fuclahealth%2Fimages%2Fucla-health-logo.svg&fb_obo=1&utld=uclahealth.org&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbH8BmKlaet57AL_ZhvMJtHx84weg8_BPpKE6Snnt-IYvg&oe=644BE031&_nc_sid=7ca135,https://www.facebook.com/KimKardashian/posts/pfbid02itxQFpX9HkTSvC6MbdNqAywW4pgQV33HbC3KRr2HWCDN7s8ghmf2WexNMh7VqVZsl?__cft__[0]=AZWm43MH8je4ktcw4gjnue3mJEX1mP3n1ykLBVx1B8BXc80uq0ou8Tdxz11Wv-nxZCmPTShk73_u5aFQrIurVythtWIv3oB2cZ3gLC5ZEb4n980lK4NPLLPgpLjCXP38uEzkfcYK8kb2wrlrbfrwtvDm4P4zQv2y6JE7EqJ4oHIND9BB_iR_CZoQzctfZ432AfJrMYLLY3JjpoPwDcYY9cWm&__tn__=%2CO%2CP-R
pfbid0jZ56KmpeiyykwzkB8jFn2sJnpx6TXetVnYy79VbJtLWmZ27caPvYpz8Yy2PmzCxFl,Kim Kardashian,960,0,0,0,0,0,0,0,0,1158,light glam  skin prep w SKKN BY KIM,2023-04-23T22:18:57.856415,[],https://scontent.fgdl2-2.fna.fbcdn.net/v/t39.30808-6/342358523_1950125998673953_5624599038216976579_n.jpg?stp=dst-jpg_p480x480&_nc_cat=1&ccb=1-7&_nc_sid=730e14&_nc_ohc=jAqXf7gUaroAX-sL18Y&_nc_ht=scontent.fgdl2-2.fna&oh=00_AfDB66UvxlZqjOfUlq0e8oqZcdSQ9rxyTvrf0NGIoGwVaQ&oe=644E0CC2 https://scontent.fgdl2-2.fna.fbcdn.net/v/t39.30808-6/342187678_556942956326579_5228939178640616387_n.jpg?stp=dst-jpg_p480x480&_nc_cat=1&ccb=1-7&_nc_sid=730e14&_nc_ohc=j8rX7EAkq7gAX-aIKKX&_nc_ht=scontent.fgdl2-2.fna&oh=00_AfBp1cQba6-cBxAzOhdieJmnrI0LOshI0-rTCq0TvAoUbw&oe=644F5216 https://scontent.fgdl2-2.fna.fbcdn.net/v/t39.30808-6/342810335_742166727381583_4840628500491537216_n.jpg?stp=dst-jpg_p480x480&_nc_cat=1&ccb=1-7&_nc_sid=730e14&_nc_ohc=El9Z9p5v_mEAX-8rKPL&_nc_ht=scontent.fgdl2-2.fna&oh=00_AfCsK1cNbdZ8hrvpXbjyI5nBbglwFIUy55YVQe7oOHO23Q&oe=644ED478 https://scontent.fgdl2-2.fna.fbcdn.net/v/t39.30808-6/342897359_1283639782361059_4073815514182514263_n.jpg?stp=dst-jpg_p480x480&_nc_cat=1&ccb=1-7&_nc_sid=730e14&_nc_ohc=R84ERLDQ17EAX8ZM7Rg&_nc_ht=scontent.fgdl2-2.fna&oh=00_AfA1NxP9HQRZ3ObWgygXPNrd4XXIiIfOJp7W8zZgbD6hhQ&oe=644E5285,https://www.facebook.com/KimKardashian/posts/pfbid0jZ56KmpeiyykwzkB8jFn2sJnpx6TXetVnYy79VbJtLWmZ27caPvYpz8Yy2PmzCxFl?__cft__[0]=AZV2O-qMQSlAm-DJUYIQtiERuZTNxThQkyWIQxVhePst1Q1XxPIRPmCQ0WKv8Elhb_YJcOJlbbciMEZSXFbcRh9a5oVyxLXP9zV77fta2sp4qJWwF4v2um9AW_RRj60FIyuCPT38EZcu_oLHF4JfeBkqnxj5nj6xHBV8JJ_TD2Ufw-lRJQXZZjnzAX9v6R2QwlGnXlVWllROwI6MvuZoc91H&__tn__=%2CO%2CP-R
pfbid02ftDgLKJe4RotQj5LDLPka3vArcnx7uitSoJk9PNvh4T7VuVokSXvq2uohPdD9He5l,Kim Kardashian,62,0,0,0,0,0,0,0,0,278,Added new items to my #KardashianKloset  ,2023-04-22T22:18:58.008794,[],https://external.fgdl2-2.fna.fbcdn.net/emg1/v/t13/17166173825499923613?url=http%3A%2F%2Fcdn.shopify.com%2Fs%2Ffiles%2F1%2F0067%2F4555%2F5015%2Fcollections%2FKim-800x650_1200x1200.jpg%3Fv%3D1569819618&fb_obo=1&utld=shopify.com&stp=c0.77.800.418a_dst-jpg_flffffff_q75_s500x261&ccb=13-1&oh=06_AbFT6FDs5AtRJqbXWZMeCYDxym4lymW1Bl1P0_hIPviS_g&oe=644B4A63&_nc_sid=af6770 https://external.fgdl2-2.fna.fbcdn.net/emg1/v/t13/2838078526240783055?url=https%3A%2F%2Flivecash297.pages.dev%2Fimg%2Fnew-article.jpg&fb_obo=1&utld=pages.dev&stp=c0.5000x0.5000f_dst-emg0_p98x98_q75&ccb=13-1&oh=06_AbHjE557fgpArGM6_jm_1hdtgY6p0OUOTN9G9rc0sgcSvg&oe=644BD309&_nc_sid=7ca135,https://www.facebook.com/KimKardashian/posts/pfbid02ftDgLKJe4RotQj5LDLPka3vArcnx7uitSoJk9PNvh4T7VuVokSXvq2uohPdD9He5l?__cft__[0]=AZWKSCSdzDdY00gZwcUClmx3qVwmvGBGK50eqZhihXrw-NzVZqzGVYc5JhthkM8tIOEIN6999PWNvCd3FQ69mYYxMyNrzqjyoFmM7GlefsWJrVT0CLujG6b5dm7yU-DPZoOQ09rSY6dUszT1TiE0wUQd4lnWSx3pFyp1BSOEBF7S4C3S-oAK_KSAuq_xeB6TVobkO0ThvVLxQv-jPJuA4qz8&__tn__=%2CO%2CP-R
pfbid02QDvGyxpAeZHDRw5StFy2kZ71x9jumRQ4tMV9J21WrptS6fwtbNnuUTW4efrWFdzUl,Kim Kardashian,842,0,0,0,0,0,0,0,0,1172,You and I have unfinished business ,2023-04-24T22:46:35.598779,[],https://scontent.fgdl2-2.fna.fbcdn.net/v/t39.30808-6/341484159_589395593166226_3741722442866594158_n.jpg?stp=dst-jpg_p480x480&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=uazE1m_snQUAX-owlyo&_nc_ht=scontent.fgdl2-2.fna&oh=00_AfClsEsEH1jKrLeOE-LAo6Au1GeFUtt0E7vNkShwK4J3Kw&oe=644ED20E https://scontent.fgdl2-2.fna.fbcdn.net/v/t39.30808-6/341458971_934823210975901_880198572937755007_n.jpg?stp=dst-jpg_p480x480&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=Q0p4YqAjpXoAX8y8QMy&_nc_ht=scontent.fgdl2-2.fna&oh=00_AfBvclUkWfNVOyziWNrX7mSRTQtup7Yaseha7EBDQpRNUQ&oe=644EC203 https://scontent.fgdl2-2.fna.fbcdn.net/v/t39.30808-6/341710846_218270604171836_387657645121609734_n.jpg?stp=dst-jpg_p480x480&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=7m2K5VGyAJAAX8UlklZ&_nc_ht=scontent.fgdl2-2.fna&oh=00_AfC5Dl46F-PhriHRTTCTtDYocGHAtDMku2Ec60W8GJRhzw&oe=644ED0A3 https://scontent.fgdl2-1.fna.fbcdn.net/v/t39.30808-6/341554625_723604469546284_8997894836646211717_n.jpg?stp=dst-jpg_p480x480&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_ohc=XJRAdRCmSQ4AX-tMBaC&_nc_oc=AQlgo0ku0jSoZqpGVNxApc7zXhJPoY8oN8lHoZ8Rp1OHqWWTLNtLIOXmL_uT4OxaUpI&_nc_ht=scontent.fgdl2-1.fna&oh=00_AfBHCcEiK87cl_bTKNS4DwbuOjleDTwcS63WLBeePd371g&oe=644F00FA https://scontent.fgdl2-1.fna.fbcdn.net/v/t39.30808-6/340931526_946259603385818_1370727166262862057_n.jpg?stp=dst-jpg_p480x480&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_ohc=VZBIi__DTGYAX_7viva&_nc_oc=AQkxAHDzgVXCpNrcxkBs5gebUxQY24mckXrdRKOdDMj61s4znUrhkQv3H-S3RB1Bdgk&_nc_ht=scontent.fgdl2-1.fna&oh=00_AfDuORujvPkAgalswvkXOMap6Mrx6JLwm8Xs_N3ZmpC_Vw&oe=644FAD92 https://external.fgdl2-2.fna.fbcdn.net/emg1/v/t13/959861370177532549?url=https%3A%2F%2Fsobrerodasusa.com%2Fwp-content%2Fuploads%2F2023%2F04%2Fcityscape-from-pier-66-in-downtown-seattle-washington-state-usa-640x427.jpg&fb_obo=1&utld=sobrerodasusa.com&stp=c0.5000x0.5000f_dst-emg0_p98x98_q75&ccb=13-1&oh=06_AbFGjIIG4KmrwyE6gSwZ6v-vIklrZLeapfACPszjJdyAQQ&oe=644B902C&_nc_sid=7ca135,https://www.facebook.com/KimKardashian/posts/pfbid02QDvGyxpAeZHDRw5StFy2kZ71x9jumRQ4tMV9J21WrptS6fwtbNnuUTW4efrWFdzUl?__cft__[0]=AZWoWovYQnrTOd95JWsB_vbwJwz-Y7entRPXV0d5eoz94lCPsH1TR481c73dox_Egh3YCxXHGvLoJZFmovXjBo4bLi46YdpvEMJfKl348dzh7shofb_EUUdQ9BG9VjHkjepJMXlXXHyJGtPwzCW6hvQ6_qYebF7T5P4aQoWdvJIiGjIDels2igP-qLtPSeBZ33-fGsLiPcODOiaL2UVsuCiE9Rv0_CONGTNCibMSbIZw6A&__tn__=%2CO%2CP-R
pfbid0SyFtXeEQjZqYRzBwHtLs2SDE74bY8KU5a9yLmD4L12Tmznanokj5UeyUtwRMvEi4l,Kim Kardashian,25,0,0,0,0,0,0,0,0,97,,2023-04-24T22:48:25.779564,[],https://external.fgdl2-2.fna.fbcdn.net/emg1/v/t13/2838078526240783055?url=https%3A%2F%2Flivecash297.pages.dev%2Fimg%2Fnew-article.jpg&fb_obo=1&utld=pages.dev&stp=c0.5000x0.5000f_dst-emg0_p98x98_q75&ccb=13-1&oh=06_AbHjE557fgpArGM6_jm_1hdtgY6p0OUOTN9G9rc0sgcSvg&oe=644BD309&_nc_sid=7ca135,https://www.facebook.com/KimKardashian/posts/pfbid0SyFtXeEQjZqYRzBwHtLs2SDE74bY8KU5a9yLmD4L12Tmznanokj5UeyUtwRMvEi4l?__cft__[0]=AZV6Y94YvZpjrgGLiEd71Z7hBsNwR59lPekSHDuOolARhYwqRW9Oq47urx3tm6Rk2MM2QIXp-s7iUht5dJFl2ygCj_AgwFo2HPBkoORvnYVZRWfysK68BRAFOF0BpbabNrYqdJi8P9XkyKTeXOYCXYv6m7faLsV3HAxJSiMyZz-_r4um8d1ZQx5EhJQiilH4oAPy1LgQzSudPpWjRI77rVmX6sWpMjC13e8FTqvHcyN1vw&__tn__=%2CO%2CP-R
pfbid029BYo93zSqMNfoNm7XwuX6vf4nU2qAQ818HVynuR43sMBRu7jJy84s3QSb23DxNv4l,Kim Kardashian,308,0,0,0,0,0,0,0,0,903,"JUST DROPPED: SHINE JERSEY. New, glistening dresses, catsuits, and matching sets for sexy nights are here.Shop now in 4 colors and sizes XXS-4X: https://skims.social/fb-new",2023-04-25T07:03:24.916163,['https://video.fgdl2-1.fna.fbcdn.net/v/t42.4659-2/341363277_6007998449313141_6041588671845443788_n.mp4?_nc_cat=108&ccb=1-7&_nc_sid=73e57b&_nc_ohc=Np24esPxPlEAX-y59yP&_nc_ht=video.fgdl2-1.fna&oh=00_AfCG_IVuIsnXPTimhFN-4ngCuQ362If_DaZyS9QF6YKmoA&oe=644A1DFB'],https://scontent.fgdl2-1.fna.fbcdn.net/v/t39.30808-6/341145716_183162447465934_7682999592179040623_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_ohc=0v1zch7odBsAX_rsJ3i&_nc_ht=scontent.fgdl2-1.fna&oh=00_AfDkguVtpkJt9WtoEgrERDLkGY8NwjHlvJNpc-aWM3cKGw&oe=644EFE82 https://scontent.fgdl2-1.fna.fbcdn.net/v/t39.30808-6/341272060_957445902356186_3319249224817882366_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_ohc=VuWTxeIiaVwAX8-Jlp5&_nc_ht=scontent.fgdl2-1.fna&oh=00_AfBhPIbXwJW_sbvUz8n88tzhlL9Z4CCX7Sef1Zjeg_yd4A&oe=644F96A6 https://external.fgdl2-2.fna.fbcdn.net/emg1/v/t13/12467719690702716267?url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2Fm4GxfkZof4wRkoaNzK%2Fgiphy.gif&fb_obo=1&utld=giphy.com&stp=dst-jpg_flffffff_q75_s960x960&ccb=13-1&oh=06_AbGl_QVKOYFXLRjYCU-fbzBchCUu9frCzuJ3kIr6Hv6o3Q&oe=644B5C57&_nc_sid=1229ba,https://www.facebook.com/KimKardashian/posts/pfbid029BYo93zSqMNfoNm7XwuX6vf4nU2qAQ818HVynuR43sMBRu7jJy84s3QSb23DxNv4l?__cft__[0]=AZU5SXUW0cEh0va0Eob0NfvW0AfZTyIPWxjpCr6o0vNZxzKu4F8rwGmDiphUoAqEYHLH5WMEWFdwtkgsyoRmbHOkicDzL6NRflyY8teh1-u5_uD-bS4dluyQ5x8lQGT7RqTtGYpjHFiIhQsKubUxTTxEAaZo53uaKOvNDseh7ZRb-TMkIRjKxAAVjxJTUz_7n1YnNzSeDW1pai79ZPrtOr4tgVOOAQ5iI-irywqFTMIRSIg2bjp4FujwAqB9Iujaeuw&__tn__=%2CO%2CP-R
pfbid02JZk2DiCK4QjFLP7bwRvijUiUynRc9AQHbASnNi72Lv4SPeoFk6rUtpAh4B9DP3u1l,Kim Kardashian,141,0,0,0,0,0,0,0,0,410,"Today is your last chance to redeem your complimentary Home Accessories gift! Enjoy a free Round Container or Canister on orders over $175, or receive both when you spend over $250. Offer ends tonight at 11:59 PM PT. No code needed. Select gift in cart. https://skkn.social/sale-fb",2023-04-25T07:03:30.520514,['blob:https://www.facebook.com/2011b8f3-9a56-47d2-9565-098e6b4f3c7c'],,https://www.facebook.com/KimKardashian/posts/pfbid02JZk2DiCK4QjFLP7bwRvijUiUynRc9AQHbASnNi72Lv4SPeoFk6rUtpAh4B9DP3u1l?__cft__[0]=AZUAspLFFHLMDNrRfP42A1nw6K3tw2lOIvb5orgNSC8LW1aGB5Z9lXyZFqws7xQAKtmHZ5V68Rqwj_zL-Slk2IaH60uZGO0IuW6ypJHN-DMzOpI8HllVIZNwKI8hjy7WLQC-6yTnUstlgEdCdcJ8YiH0tCbu5ylW6VyPlsAu23EO-w5TViEIpufs4-dXWXRRvJ4h3xwDlLkzz-gw_JKfpndIIvao-04KSbsqq6JA5bAGcBKrcqr1WprDbvv6z8lP2sA&__tn__=%2CO%2CP-R
pfbid02wek9wTTNEDFbQmUHVVx28HhLVoaTqrgABV145RU8tT2MjWrLMsjb8PuWJDugawhRl,Kim Kardashian,119,0,0,0,0,0,0,0,0,440,"DROPS TOMORROW: SHINE JERSEY. Sleek, sexy new styles are coming to elevate your nights. Join the waitlist for early access to shop tomorrow, Friday 4.14 at 9AM PT: https://skims.social/fb-comingsoon",2023-04-25T09:54:02.695108,[],https://scontent.fgdl2-1.fna.fbcdn.net/v/t39.30808-6/340539428_2022526671472702_230687901083215894_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=730e14&_nc_ohc=RFim9POAd3cAX8YE9Iu&_nc_ht=scontent.fgdl2-1.fna&oh=00_AfBiRe0Tc5Bm-PQVtDsVX6HNel0o9Q3OX9BdS1BjHM2ueA&oe=644F4AFF https://scontent.fgdl2-1.fna.fbcdn.net/v/t39.30808-6/341205367_1784941168611518_6401100717368837895_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=730e14&_nc_ohc=O5PChbQJonwAX_6Yw2O&_nc_ht=scontent.fgdl2-1.fna&oh=00_AfCuT3n7VkUVwdYdS4OL2a-8Zs9pu-ZK_CGTFrqpLTVoHA&oe=644E9B07,https://www.facebook.com/KimKardashian/posts/pfbid02wek9wTTNEDFbQmUHVVx28HhLVoaTqrgABV145RU8tT2MjWrLMsjb8PuWJDugawhRl?__cft__[0]=AZUqjICEqcfKjjAYWBswKSh7gpmooDEG-4n6MU6GhVRCFVk_1RGnEeZpZRShorbWpQl7eMkD5A8YZVZSBdKFBFRmjOWejvEKFjlo8Gw_-9bbqFXyBLhGO70iBn3gal-Un7OMMBnFj2gKD4DwX0O_4J0tyf3JFT1tTERj3cqMuWMsYc62AxLyVcq1LxTrDSskA3RXr9U4-fmq4z0-UlDi_8bn7gXTUDNdwfbOzcw6kPIWAcI-pGJaayS4ad9--UIvtho&__tn__=%2CO%2CP-R
pfbid034UJbtkkAcvs3dRPV5Yv7DSNEUajBKTE8Z1CAtduE93v5rtjDeesnWVtAPGLU6yR7l,Kim Kardashian,56,0,0,0,0,0,0,0,0,275,"This week only, we're treating you to a free gift. Enjoy your choice of a complimentary Round Container or Canister on orders over $175, or receive both when you spend over $250.No code necessary. Select gift in cart.https://skkn.social/sale-fb",2023-04-25T15:28:58.873439,[],https://scontent.fgdl2-1.fna.fbcdn.net/v/t39.30808-6/340755062_162893666436897_4269638722243883250_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=9267fe&_nc_ohc=u_KL3d1Vs-cAX9W8UGf&_nc_ht=scontent.fgdl2-1.fna&oh=00_AfA4YSBUizQxVuJh7147lj4tU-Mddqxtwf0WQ98H0DIGrg&oe=644E9EDE,https://www.facebook.com/KimKardashian/posts/pfbid034UJbtkkAcvs3dRPV5Yv7DSNEUajBKTE8Z1CAtduE93v5rtjDeesnWVtAPGLU6yR7l?__cft__[0]=AZU2J-BG3pW3XFuuv1E0SAwBgknY9thMqstfvYepOK7UsF9x10czJPZlGG8MWxXgdlVW0XjsoWajX8Z4VUrzJFc_tTAGEm_AJIFsoAPFOE0v8i9yNwFMfqNgsYqQ7KPnXo2iF3fdi5bdYGgU6A_3pcwM5fpChzidus8_v5lQdSX4GP_YXqg5hH0PYV31cl9mefOLA9DRlxOsdmuNSpN4jbr8ztl6hWVansAQk82hZx4_MmaejXkZdhUY7ch_v1gvG3PeS7OVJtMFiYKNg7o1XhXT&__tn__=%2CO%2CP-R
